"","msa.fips","year","net.earnings.by.place.of.residence"
"new.row.838","43420",1971,232392
"new.row.839","43420",1972,260238
"new.row.840","43420",1973,287742
"new.row.841","43420",1974,303681
"new.row.842","43420",1975,306853
"new.row.843","43420",1976,336189
"new.row.844","43420",1977,360267
"new.row.845","43420",1978,406151
"new.row.846","43420",1979,427638
"new.row.847","43420",1980,475935
"new.row.848","43420",1981,516586
"new.row.849","43420",1982,532826
"new.row.850","43420",1983,576558
"new.row.851","43420",1984,633879
"new.row.852","43420",1985,653634
"new.row.853","43420",1986,690577
"new.row.854","43420",1987,735460
"new.row.855","43420",1988,769814
"new.row.856","43420",1989,778904
"new.row.857","43420",1990,827299
"new.row.858","43420",1991,877613
"new.row.859","43420",1992,954701
"new.row.860","43420",1993,973286
"new.row.861","43420",1994,1011603
"new.row.862","43420",1995,1031125
"new.row.863","43420",1996,1080721
"new.row.864","43420",1997,1137580
"new.row.865","43420",1998,1210525
"new.row.866","43420",1999,1263776
"new.row.867","43420",2000,1384099
"new.row.868","43420",2001,1475676
"new.row.869","43420",2002,1557533
"new.row.870","43420",2003,1695315
"new.row.871","43420",2004,1838562
"new.row.872","43420",2005,2044110
"new.row.873","43420",2006,2171099
"new.row.874","43420",2007,2303529
"new.row.875","43420",2008,2356551
"new.row.876","43420",2009,2389403
"new.row.877","43420",2010,2462840
"new.row.878","43420",2011,2553873
"new.row.879","43420",2012,2498313
"new.row.880","46060",1969,865383
"new.row.881","46060",1970,982179
"new.row.882","46060",1971,1133770
"new.row.883","46060",1972,1296076
"new.row.884","46060",1973,1471640
"new.row.885","46060",1974,1609352
"new.row.886","46060",1975,1690931
"new.row.887","46060",1976,1852980
"new.row.888","46060",1977,2058095
"new.row.889","46060",1978,2348018
"new.row.890","46060",1979,2792948
"new.row.891","46060",1980,3132896
"new.row.892","46060",1981,3543439
"new.row.893","46060",1982,3682227
"new.row.894","46060",1983,3967049
"new.row.895","46060",1984,4397103
"new.row.896","46060",1985,4812993
"new.row.897","46060",1986,5262406
"new.row.898","46060",1987,5586573
"new.row.899","46060",1988,5942720
"new.row.900","46060",1989,6050940
"new.row.901","46060",1990,6204706
"new.row.902","46060",1991,6673018
"new.row.903","46060",1992,7137121
"new.row.904","46060",1993,7755943
"new.row.905","46060",1994,8511843
"new.row.906","46060",1995,9040172
"new.row.907","46060",1996,9551711
"new.row.908","46060",1997,10151071
"new.row.909","46060",1998,11123147
"new.row.910","46060",1999,11968560
"new.row.911","46060",2000,12960500
"new.row.912","46060",2001,13313323
"new.row.913","46060",2002,13862473
"new.row.914","46060",2003,14474197
"new.row.915","46060",2004,15551030
"new.row.916","46060",2005,16737356
"new.row.917","46060",2006,18400714
"new.row.918","46060",2007,19172238
"new.row.919","46060",2008,19495511
"new.row.920","46060",2009,18681978
"new.row.921","46060",2010,18663808
"new.row.922","46060",2011,19349513
"new.row.923","46060",2012,19996663
"new.row.924","49740",1969,164126
"new.row.925","49740",1970,176800
"new.row.926","49740",1971,202717
"new.row.927","49740",1972,220958
"new.row.928","49740",1973,234336
"new.row.929","49740",1974,310368
"new.row.930","49740",1975,307613
"new.row.931","49740",1976,348177
"new.row.932","49740",1977,372661
"new.row.933","49740",1978,411165
"new.row.934","49740",1979,503333
"new.row.935","49740",1980,551646
"new.row.936","49740",1981,583626
"new.row.937","49740",1982,590101
"new.row.938","49740",1983,549012
"new.row.939","49740",1984,631972
"new.row.940","49740",1985,710692
"new.row.941","49740",1986,731972
"new.row.942","49740",1987,864989
"new.row.943","49740",1988,996733
"new.row.944","49740",1989,971575
"new.row.945","49740",1990,996276
"new.row.946","49740",1991,1106575
"new.row.947","49740",1992,1172041
"new.row.948","49740",1993,1297379
"new.row.949","49740",1994,1275485
"new.row.950","49740",1995,1567118
"new.row.951","49740",1996,1439699
"new.row.952","49740",1997,1571709
"new.row.953","49740",1998,1772562
"new.row.954","49740",1999,1777160
"new.row.955","49740",2000,1914396
"new.row.956","49740",2001,1932120
"new.row.957","49740",2002,2160973
"new.row.958","49740",2003,2225265
"new.row.959","49740",2004,2565968
"new.row.960","49740",2005,2731392
"new.row.961","49740",2006,2899652
"new.row.962","49740",2007,3113512
"new.row.963","49740",2008,3062138
"new.row.964","49740",2009,3025957
"new.row.965","49740",2010,3075116
"new.row.966","49740",2011,3280925
"new.row.967","49740",2012,3159833
"new.row.968","22220",1969,285275
"new.row.969","22220",1970,294277
"new.row.970","22220",1971,331259
"new.row.971","22220",1972,400637
"new.row.972","22220",1973,479132
"new.row.973","22220",1974,477028
"new.row.974","22220",1975,557727
"new.row.975","22220",1976,633753
"new.row.976","22220",1977,710579
"new.row.977","22220",1978,830569
"new.row.978","22220",1979,909238
"new.row.979","22220",1980,974970
"new.row.980","22220",1981,1076853
"new.row.981","22220",1982,1112161
"new.row.982","22220",1983,1235398
"new.row.983","22220",1984,1467347
"new.row.984","22220",1985,1604308
"new.row.985","22220",1986,1818960
"new.row.986","22220",1987,1936364
"new.row.987","22220",1988,2110170
"new.row.988","22220",1989,2326871
"new.row.989","22220",1990,2430239
"new.row.990","22220",1991,2614493
"new.row.991","22220",1992,2963728
"new.row.992","22220",1993,3194763
"new.row.993","22220",1994,3519821
"new.row.994","22220",1995,3819991
"new.row.995","22220",1996,4065763
"new.row.996","22220",1997,4329056
"new.row.997","22220",1998,4777221
"new.row.998","22220",1999,5260850
"new.row.999","22220",2000,5651993
"new.row.1000","22220",2001,6231637
"new.row.1001","22220",2002,6626394
"new.row.1002","22220",2003,7162890
"new.row.1003","22220",2004,7960928
"new.row.1004","22220",2005,8446930
"new.row.1005","22220",2006,8947601
"new.row.1006","22220",2007,9366936
"new.row.1007","22220",2008,9672209
"new.row.1008","22220",2009,9503536
"new.row.1009","22220",2010,9961286
"new.row.1010","22220",2011,10556077
"new.row.1011","22220",2012,11265396
"new.row.1012","22900",1969,311838
"new.row.1013","22900",1970,338560
"new.row.1014","22900",1971,376501
"new.row.1015","22900",1972,423196
"new.row.1016","22900",1973,478345
"new.row.1017","22900",1974,539580
"new.row.1018","22900",1975,586519
"new.row.1019","22900",1976,668843
"new.row.1020","22900",1977,766100
"new.row.1021","22900",1978,866330
"new.row.1022","22900",1979,956861
"new.row.1023","22900",1980,1032626
"new.row.1024","22900",1981,1143902
"new.row.1025","22900",1982,1147911
"new.row.1026","22900",1983,1249488
"new.row.1027","22900",1984,1407055
"new.row.1028","22900",1985,1503982
"new.row.1029","22900",1986,1625485
"new.row.1030","22900",1987,1763664
"new.row.1031","22900",1988,1874147
"new.row.1032","22900",1989,1963188
"new.row.1033","22900",1990,2041704
"new.row.1034","22900",1991,2148510
"new.row.1035","22900",1992,2379034
"new.row.1036","22900",1993,2488741
"new.row.1037","22900",1994,2702756
"new.row.1038","22900",1995,2820213
"new.row.1039","22900",1996,2953335
"new.row.1040","22900",1997,3124683
"new.row.1041","22900",1998,3358567
"new.row.1042","22900",1999,3563755
"new.row.1043","22900",2000,3841219
"new.row.1044","22900",2001,3987217
"new.row.1045","22900",2002,3985655
"new.row.1046","22900",2003,4155019
"new.row.1047","22900",2004,4432192
"new.row.1048","22900",2005,4746331
"new.row.1049","22900",2006,5053233
"new.row.1050","22900",2007,5062918
"new.row.1051","22900",2008,5158163
"new.row.1052","22900",2009,4779905
"new.row.1053","22900",2010,4938779
"new.row.1054","22900",2011,5076599
"new.row.1055","22900",2012,5254775
"new.row.1056","26300",1969,98717
"new.row.1057","26300",1970,109875
"new.row.1058","26300",1971,128106
"new.row.1059","26300",1972,146681
"new.row.1060","26300",1973,165678
"new.row.1061","26300",1974,185819
"new.row.1062","26300",1975,190847
"new.row.1063","26300",1976,222040
"new.row.1064","26300",1977,251643
"new.row.1065","26300",1978,282329
"new.row.1066","26300",1979,308295
"new.row.1067","26300",1980,338249
"new.row.1068","26300",1981,354043
"new.row.1069","26300",1982,367672
"new.row.1070","26300",1983,391796
"new.row.1071","26300",1984,424643
"new.row.1072","26300",1985,444059
"new.row.1073","26300",1986,463399
"new.row.1074","26300",1987,486201
"new.row.1075","26300",1988,507824
"new.row.1076","26300",1989,539757
"new.row.1077","26300",1990,568678
"new.row.1078","26300",1991,604783
"new.row.1079","26300",1992,659644
"new.row.1080","26300",1993,715933
"new.row.1081","26300",1994,767569
"new.row.1082","26300",1995,825123
"new.row.1083","26300",1996,856833
"new.row.1084","26300",1997,896446
"new.row.1085","26300",1998,967283
"new.row.1086","26300",1999,1014448
"new.row.1087","26300",2000,1063821
"new.row.1088","26300",2001,1108294
"new.row.1089","26300",2002,1129829
"new.row.1090","26300",2003,1184922
"new.row.1091","26300",2004,1251556
"new.row.1092","26300",2005,1304364
"new.row.1093","26300",2006,1380447
"new.row.1094","26300",2007,1403772
"new.row.1095","26300",2008,1423650
"new.row.1096","26300",2009,1406682
"new.row.1097","26300",2010,1432066
"new.row.1098","26300",2011,1520623
"new.row.1099","26300",2012,1605448
"new.row.1100","27860",1969,160474
"new.row.1101","27860",1970,182616
"new.row.1102","27860",1971,194928
"new.row.1103","27860",1972,215013
"new.row.1104","27860",1973,264848
"new.row.1105","27860",1974,289235
"new.row.1106","27860",1975,292038
"new.row.1107","27860",1976,311966
"new.row.1108","27860",1977,352375
"new.row.1109","27860",1978,477513
"new.row.1110","27860",1979,455998
"new.row.1111","27860",1980,439287
"new.row.1112","27860",1981,490115
"new.row.1113","27860",1982,487603
"new.row.1114","27860",1983,493850
"new.row.1115","27860",1984,590845
"new.row.1116","27860",1985,609036
"new.row.1117","27860",1986,616698
"new.row.1118","27860",1987,709229
"new.row.1119","27860",1988,788510
"new.row.1120","27860",1989,808180
"new.row.1121","27860",1990,843115
"new.row.1122","27860",1991,908891
"new.row.1123","27860",1992,1015568
"new.row.1124","27860",1993,1057838
"new.row.1125","27860",1994,1123770
"new.row.1126","27860",1995,1210336
"new.row.1127","27860",1996,1278223
"new.row.1128","27860",1997,1341800
"new.row.1129","27860",1998,1425151
"new.row.1130","27860",1999,1521185
"new.row.1131","27860",2000,1603769
"new.row.1132","27860",2001,1612031
"new.row.1133","27860",2002,1634643
"new.row.1134","27860",2003,1853562
"new.row.1135","27860",2004,1950084
"new.row.1136","27860",2005,1968834
"new.row.1137","27860",2006,2058703
"new.row.1138","27860",2007,2086817
"new.row.1139","27860",2008,2219137
"new.row.1140","27860",2009,2140139
"new.row.1141","27860",2010,2221621
"new.row.1142","27860",2011,2385975
"new.row.1143","27860",2012,2547555
"new.row.1144","30780",1969,1039063
"new.row.1145","30780",1970,1118848
"new.row.1146","30780",1971,1257718
"new.row.1147","30780",1972,1435632
"new.row.1148","30780",1973,1633466
"new.row.1149","30780",1974,1825234
"new.row.1150","30780",1975,1975001
"new.row.1151","30780",1976,2212208
"new.row.1152","30780",1977,2462196
"new.row.1153","30780",1978,2816195
"new.row.1154","30780",1979,3113546
"new.row.1155","30780",1980,3369962
"new.row.1156","30780",1981,3590213
"new.row.1157","30780",1982,3767558
"new.row.1158","30780",1983,4089058
"new.row.1159","30780",1984,4474343
"new.row.1160","30780",1985,4835193
"new.row.1161","30780",1986,5142471
"new.row.1162","30780",1987,5412068
"new.row.1163","30780",1988,5709964
"new.row.1164","30780",1989,6046020
"new.row.1165","30780",1990,6435361
"new.row.1166","30780",1991,6860959
"new.row.1167","30780",1992,7496403
"new.row.1168","30780",1993,7859623
"new.row.1169","30780",1994,8270094
"new.row.1170","30780",1995,8765227
"new.row.1171","30780",1996,9272353
"new.row.1172","30780",1997,9752942
"new.row.1173","30780",1998,10488753
"new.row.1174","30780",1999,11031865
"new.row.1175","30780",2000,11662270
"new.row.1176","30780",2001,12211996
"new.row.1177","30780",2002,12616765
"new.row.1178","30780",2003,13243416
"new.row.1179","30780",2004,14047770
"new.row.1180","30780",2005,14660149
"new.row.1181","30780",2006,15578567
"new.row.1182","30780",2007,16623399
"new.row.1183","30780",2008,16558197
"new.row.1184","30780",2009,16715653
"new.row.1185","30780",2010,16738928
"new.row.1186","30780",2011,17721709
"new.row.1187","30780",2012,18503243
"new.row.1188","32820",1969,2374134
"new.row.1189","32820",1970,2552225
"new.row.1190","32820",1971,2852940
"new.row.1191","32820",1972,3250999
"new.row.1192","32820",1973,3597687
"new.row.1193","32820",1974,3894906
"new.row.1194","32820",1975,4094557
"new.row.1195","32820",1976,4459827
"new.row.1196","32820",1977,4953409
"new.row.1197","32820",1978,5620646
"new.row.1198","32820",1979,6241775
"new.row.1199","32820",1980,6725023
"new.row.1200","32820",1981,7164219
"new.row.1201","32820",1982,7380202
"new.row.1202","32820",1983,7926180
"new.row.1203","32820",1984,8833060
"new.row.1204","32820",1985,9497139
"new.row.1205","32820",1986,10123856
"new.row.1206","32820",1987,11104592
"new.row.1207","32820",1988,11994222
"new.row.1208","32820",1989,12817224
"new.row.1209","32820",1990,13628534
"new.row.1210","32820",1991,14213285
"new.row.1211","32820",1992,15462299
"new.row.1212","32820",1993,16461815
"new.row.1213","32820",1994,17822806
"new.row.1214","32820",1995,19024081
"new.row.1215","32820",1996,20222535
"new.row.1216","32820",1997,21421719
"new.row.1217","32820",1998,24535844
"new.row.1218","32820",1999,25602559
"new.row.1219","32820",2000,26488124
"new.row.1220","32820",2001,28629624
"new.row.1221","32820",2002,29312797
"new.row.1222","32820",2003,30254674
"new.row.1223","32820",2004,31858033
"new.row.1224","32820",2005,32379435
"new.row.1225","32820",2006,33743974
"new.row.1226","32820",2007,34622551
"new.row.1227","32820",2008,34582197
"new.row.1228","32820",2009,33290099
"new.row.1229","32820",2010,33683183
"new.row.1230","32820",2011,35372937
"new.row.1231","32820",2012,37420668
"new.row.1232","38220",1969,211301
"new.row.1233","38220",1970,221466
"new.row.1234","38220",1971,241914
"new.row.1235","38220",1972,261636
"new.row.1236","38220",1973,304539
"new.row.1237","38220",1974,313844
"new.row.1238","38220",1975,333989
"new.row.1239","38220",1976,377824
"new.row.1240","38220",1977,420329
"new.row.1241","38220",1978,490672
"new.row.1242","38220",1979,546811
"new.row.1243","38220",1980,571300
"new.row.1244","38220",1981,605259
"new.row.1245","38220",1982,581020
"new.row.1246","38220",1983,607774
"new.row.1247","38220",1984,667827
"new.row.1248","38220",1985,695214
"new.row.1249","38220",1986,761139
"new.row.1250","38220",1987,781875
"new.row.1251","38220",1988,854936
"new.row.1252","38220",1989,857218
"new.row.1253","38220",1990,901126
"new.row.1254","38220",1991,919416
"new.row.1255","38220",1992,1004892
"new.row.1256","38220",1993,1032575
"new.row.1257","38220",1994,1093274
"new.row.1258","38220",1995,1112593
"new.row.1259","38220",1996,1180129
"new.row.1260","38220",1997,1210939
"new.row.1261","38220",1998,1264651
"new.row.1262","38220",1999,1315634
"new.row.1263","38220",2000,1376287
"new.row.1264","38220",2001,1432029
"new.row.1265","38220",2002,1436805
"new.row.1266","38220",2003,1564145
"new.row.1267","38220",2004,1656371
"new.row.1268","38220",2005,1657867
"new.row.1269","38220",2006,1676004
"new.row.1270","38220",2007,1706005
"new.row.1271","38220",2008,1735116
"new.row.1272","38220",2009,1681026
"new.row.1273","38220",2010,1716734
"new.row.1274","38220",2011,1760042
"new.row.1275","38220",2012,1857072
"new.row.1276","45500",1969,282897
"new.row.1277","45500",1970,287287
"new.row.1278","45500",1971,300616
"new.row.1279","45500",1972,340537
"new.row.1280","45500",1973,370427
"new.row.1281","45500",1974,401951
"new.row.1282","45500",1975,424204
"new.row.1283","45500",1976,480522
"new.row.1284","45500",1977,530227
"new.row.1285","45500",1978,600012
"new.row.1286","45500",1979,689872
"new.row.1287","45500",1980,720984
