"","msa.fips","year","personal.current.transfer.receipts"
"new.row.720","29420",1969,2169
"new.row.721","29420",1970,2253
"new.row.722","29420",1971,2618
"new.row.723","29420",1972,3106
"new.row.724","29420",1973,4139
"new.row.725","29420",1974,5104
"new.row.726","29420",1975,5462
"new.row.727","29420",1976,6099
"new.row.728","29420",1977,7145
"new.row.729","29420",1978,8816
"new.row.730","29420",1979,11776
"new.row.731","29420",1980,13124
"new.row.732","29420",1981,15083
"new.row.733","29420",1982,15228
"new.row.734","29420",1983,16347
"new.row.735","29420",1984,19476
"new.row.736","29420",1985,23450
"new.row.737","29420",1986,26188
"new.row.738","29420",1987,29444
"new.row.739","29420",1988,34309
"new.row.740","29420",1989,41656
"new.row.741","29420",1990,49183
"new.row.742","29420",1991,52691
"new.row.743","29420",1992,55888
"new.row.744","29420",1993,61151
"new.row.745","29420",1994,67934
"new.row.746","29420",1995,71334
"new.row.747","29420",1996,73546
"new.row.748","29420",1997,79948
"new.row.749","29420",1998,84864
"new.row.750","29420",1999,92209
"new.row.751","29420",2000,99537
"new.row.752","29420",2001,106422
"new.row.753","29420",2002,116396
"new.row.754","29420",2003,125707
"new.row.755","29420",2004,138797
"new.row.756","29420",2005,157846
"new.row.757","29420",2006,172968
"new.row.758","29420",2007,180018
"new.row.759","29420",2008,181465
"new.row.760","29420",2009,174950
"new.row.761","29420",2010,179150
"new.row.762","29420",2011,153888
"new.row.763","29420",2012,155216
"new.row.764","29420",2013,194462
"new.row.765","38060",1969,102669
"new.row.766","38060",1970,115255
"new.row.767","38060",1971,135024
"new.row.768","38060",1972,163431
"new.row.769","38060",1973,218932
"new.row.770","38060",1974,249791
"new.row.771","38060",1975,254731
"new.row.772","38060",1976,282395
"new.row.773","38060",1977,330451
"new.row.774","38060",1978,403912
"new.row.775","38060",1979,509523
"new.row.776","38060",1980,584292
"new.row.777","38060",1981,712365
"new.row.778","38060",1982,763811
"new.row.779","38060",1983,848182
"new.row.780","38060",1984,985316
"new.row.781","38060",1985,1164688
"new.row.782","38060",1986,1295911
"new.row.783","38060",1987,1399959
"new.row.784","38060",1988,1579056
"new.row.785","38060",1989,1696848
"new.row.786","38060",1990,1827925
"new.row.787","38060",1991,1950480
"new.row.788","38060",1992,2082241
"new.row.789","38060",1993,2249096
"new.row.790","38060",1994,2507015
"new.row.791","38060",1995,2788091
"new.row.792","38060",1996,3036032
"new.row.793","38060",1997,3303741
"new.row.794","38060",1998,3658383
"new.row.795","38060",1999,3967468
"new.row.796","38060",2000,4354986
"new.row.797","38060",2001,4539092
"new.row.798","38060",2002,4661479
"new.row.799","38060",2003,4846585
"new.row.800","38060",2004,5273644
"new.row.801","38060",2005,5847430
"new.row.802","38060",2006,6450132
"new.row.803","38060",2007,6753942
"new.row.804","38060",2008,6773335
"new.row.805","38060",2009,6489513
"new.row.806","38060",2010,6598454
"new.row.807","38060",2011,5477313
"new.row.808","38060",2012,5678259
"new.row.809","38060",2013,7572076
"new.row.810","39140",1969,2452
"new.row.811","39140",1970,2821
"new.row.812","39140",1971,3432
"new.row.813","39140",1972,4264
"new.row.814","39140",1973,5601
"new.row.815","39140",1974,6434
"new.row.816","39140",1975,6748
"new.row.817","39140",1976,7632
"new.row.818","39140",1977,9101
"new.row.819","39140",1978,10284
"new.row.820","39140",1979,12596
"new.row.821","39140",1980,14687
"new.row.822","39140",1981,17607
"new.row.823","39140",1982,18685
"new.row.824","39140",1983,20821
"new.row.825","39140",1984,23409
"new.row.826","39140",1985,28179
"new.row.827","39140",1986,31780
"new.row.828","39140",1987,35037
"new.row.829","39140",1988,40598
"new.row.830","39140",1989,46727
"new.row.831","39140",1990,50926
"new.row.832","39140",1991,55903
"new.row.833","39140",1992,61838
"new.row.834","39140",1993,69283
"new.row.835","39140",1994,80073
"new.row.836","39140",1995,86390
"new.row.837","39140",1996,89607
"new.row.838","39140",1997,97661
"new.row.839","39140",1998,102350
"new.row.840","39140",1999,109990
"new.row.841","39140",2000,115781
"new.row.842","39140",2001,121026
"new.row.843","39140",2002,130822
"new.row.844","39140",2003,140422
"new.row.845","39140",2004,155187
"new.row.846","39140",2005,176500
"new.row.847","39140",2006,199813
"new.row.848","39140",2007,213039
"new.row.849","39140",2008,215535
"new.row.850","39140",2009,208009
"new.row.851","39140",2010,210170
"new.row.852","39140",2011,178588
"new.row.853","39140",2012,182742
"new.row.854","39140",2013,232631
"new.row.855","43420",1969,4800
"new.row.856","43420",1970,5162
"new.row.857","43420",1971,6190
"new.row.858","43420",1972,6966
"new.row.859","43420",1973,8645
"new.row.860","43420",1974,9739
"new.row.861","43420",1975,9661
"new.row.862","43420",1976,10165
