"","msa.fips","year","contributions.for.government.social.insurance"
"new.row.866","43420",1980,38656
"new.row.867","43420",1981,45082
"new.row.868","43420",1982,46391
"new.row.869","43420",1983,52544
"new.row.870","43420",1984,59650
"new.row.871","43420",1985,65788
"new.row.872","43420",1986,70853
"new.row.873","43420",1987,75676
"new.row.874","43420",1988,83964
"new.row.875","43420",1989,91079
"new.row.876","43420",1990,100318
"new.row.877","43420",1991,107427
"new.row.878","43420",1992,118797
"new.row.879","43420",1993,123757
"new.row.880","43420",1994,130616
"new.row.881","43420",1995,129596
"new.row.882","43420",1996,136244
"new.row.883","43420",1997,141091
"new.row.884","43420",1998,148324
"new.row.885","43420",1999,152174
"new.row.886","43420",2000,164620
"new.row.887","43420",2001,174953
"new.row.888","43420",2002,188855
"new.row.889","43420",2003,204416
"new.row.890","43420",2004,223545
"new.row.891","43420",2005,247823
"new.row.892","43420",2006,262963
"new.row.893","43420",2007,282852
"new.row.894","43420",2008,299542
"new.row.895","43420",2009,310015
"new.row.896","43420",2010,323913
"new.row.897","43420",2011,296747
"new.row.898","43420",2012,290883
"new.row.899","43420",2013,312647
"new.row.900","46060",1969,61485
"new.row.901","46060",1970,69598
"new.row.902","46060",1971,83587
"new.row.903","46060",1972,100346
"new.row.904","46060",1973,129373
"new.row.905","46060",1974,148097
"new.row.906","46060",1975,156145
"new.row.907","46060",1976,171550
"new.row.908","46060",1977,191389
"new.row.909","46060",1978,223517
"new.row.910","46060",1979,280713
"new.row.911","46060",1980,322646
"new.row.912","46060",1981,392153
"new.row.913","46060",1982,419400
"new.row.914","46060",1983,462151
"new.row.915","46060",1984,529159
"new.row.916","46060",1985,589883
"new.row.917","46060",1986,646842
"new.row.918","46060",1987,679503
"new.row.919","46060",1988,749450
"new.row.920","46060",1989,789955
"new.row.921","46060",1990,830940
"new.row.922","46060",1991,906595
"new.row.923","46060",1992,964720
"new.row.924","46060",1993,1044436
"new.row.925","46060",1994,1160187
"new.row.926","46060",1995,1180975
"new.row.927","46060",1996,1278928
"new.row.928","46060",1997,1338365
"new.row.929","46060",1998,1439605
"new.row.930","46060",1999,1550888
"new.row.931","46060",2000,1650518
"new.row.932","46060",2001,1690986
"new.row.933","46060",2002,1765211
"new.row.934","46060",2003,1827507
"new.row.935","46060",2004,1961418
"new.row.936","46060",2005,2117906
"new.row.937","46060",2006,2296275
"new.row.938","46060",2007,2430895
"new.row.939","46060",2008,2511793
"new.row.940","46060",2009,2432265
"new.row.941","46060",2010,2462386
"new.row.942","46060",2011,2248069
"new.row.943","46060",2012,2298536
"new.row.944","46060",2013,2636063
"new.row.945","49740",1969,9664
"new.row.946","49740",1970,11394
"new.row.947","49740",1971,14114
"new.row.948","49740",1972,15579
"new.row.949","49740",1973,18851
"new.row.950","49740",1974,22284
"new.row.951","49740",1975,25142
"new.row.952","49740",1976,28944
"new.row.953","49740",1977,31563
"new.row.954","49740",1978,36149
"new.row.955","49740",1979,44524
"new.row.956","49740",1980,49114
"new.row.957","49740",1981,56585
"new.row.958","49740",1982,57259
"new.row.959","49740",1983,57148
"new.row.960","49740",1984,66181
"new.row.961","49740",1985,71816
"new.row.962","49740",1986,80405
"new.row.963","49740",1987,87571
"new.row.964","49740",1988,98423
"new.row.965","49740",1989,109001
"new.row.966","49740",1990,118736
"new.row.967","49740",1991,130800
"new.row.968","49740",1992,141262
"new.row.969","49740",1993,148330
"new.row.970","49740",1994,157771
"new.row.971","49740",1995,158176
"new.row.972","49740",1996,169676
"new.row.973","49740",1997,179788
"new.row.974","49740",1998,187756
"new.row.975","49740",1999,194335
"new.row.976","49740",2000,202606
"new.row.977","49740",2001,224665
"new.row.978","49740",2002,246728
"new.row.979","49740",2003,266176
"new.row.980","49740",2004,296266
"new.row.981","49740",2005,320631
"new.row.982","49740",2006,347414
"new.row.983","49740",2007,375923
"new.row.984","49740",2008,387369
"new.row.985","49740",2009,383699
"new.row.986","49740",2010,389739
"new.row.987","49740",2011,355760
"new.row.988","49740",2012,365798
"new.row.989","49740",2013,415100
"new.row.990","22220",1969,20611
"new.row.991","22220",1970,22812
"new.row.992","22220",1971,25755
"new.row.993","22220",1972,31077
"new.row.994","22220",1973,40696
"new.row.995","22220",1974,47146
"new.row.996","22220",1975,48945
"new.row.997","22220",1976,58721
"new.row.998","22220",1977,68496
"new.row.999","22220",1978,81127
"new.row.1000","22220",1979,94495
"new.row.1001","22220",1980,103799
"new.row.1002","22220",1981,125196
"new.row.1003","22220",1982,131870
"new.row.1004","22220",1983,148333
"new.row.1005","22220",1984,174083
"new.row.1006","22220",1985,190645
"new.row.1007","22220",1986,211461
"new.row.1008","22220",1987,233366
"new.row.1009","22220",1988,269760
"new.row.1010","22220",1989,294318
"new.row.1011","22220",1990,332716
"new.row.1012","22220",1991,360901
"new.row.1013","22220",1992,403539
"new.row.1014","22220",1993,440861
"new.row.1015","22220",1994,493466
"new.row.1016","22220",1995,533315
"new.row.1017","22220",1996,559343
"new.row.1018","22220",1997,598205
"new.row.1019","22220",1998,653206
"new.row.1020","22220",1999,715656
"new.row.1021","22220",2000,773633
"new.row.1022","22220",2001,820343
"new.row.1023","22220",2002,887229
"new.row.1024","22220",2003,946082
"new.row.1025","22220",2004,1016746
"new.row.1026","22220",2005,1102347
"new.row.1027","22220",2006,1200778
"new.row.1028","22220",2007,1254203
"new.row.1029","22220",2008,1323892
"new.row.1030","22220",2009,1323169
"new.row.1031","22220",2010,1376419
"new.row.1032","22220",2011,1303341
"new.row.1033","22220",2012,1357798
"new.row.1034","22220",2013,1615029
"new.row.1035","22900",1969,24729
"new.row.1036","22900",1970,26257
"new.row.1037","22900",1971,29933
"new.row.1038","22900",1972,35379
"new.row.1039","22900",1973,46121
"new.row.1040","22900",1974,54915
"new.row.1041","22900",1975,58104
"new.row.1042","22900",1976,68361
"new.row.1043","22900",1977,79970
"new.row.1044","22900",1978,94147
"new.row.1045","22900",1979,106792
"new.row.1046","22900",1980,114137
"new.row.1047","22900",1981,136486
"new.row.1048","22900",1982,141865
"new.row.1049","22900",1983,157205
"new.row.1050","22900",1984,182941
"new.row.1051","22900",1985,197098
"new.row.1052","22900",1986,212533
"new.row.1053","22900",1987,228643
"new.row.1054","22900",1988,253140
"new.row.1055","22900",1989,263535
"new.row.1056","22900",1990,289451
"new.row.1057","22900",1991,303298
"new.row.1058","22900",1992,331416
"new.row.1059","22900",1993,350117
"new.row.1060","22900",1994,384469
"new.row.1061","22900",1995,401123
"new.row.1062","22900",1996,411639
"new.row.1063","22900",1997,430823
"new.row.1064","22900",1998,455422
"new.row.1065","22900",1999,478840
"new.row.1066","22900",2000,505931
"new.row.1067","22900",2001,519510
"new.row.1068","22900",2002,521130
"new.row.1069","22900",2003,540278
"new.row.1070","22900",2004,566674
"new.row.1071","22900",2005,610171
"new.row.1072","22900",2006,662161
"new.row.1073","22900",2007,678720
"new.row.1074","22900",2008,702869
"new.row.1075","22900",2009,679666
"new.row.1076","22900",2010,703788
"new.row.1077","22900",2011,648036
"new.row.1078","22900",2012,656797
"new.row.1079","22900",2013,737544
"new.row.1080","26300",1969,7796
"new.row.1081","26300",1970,8762
"new.row.1082","26300",1971,10589
"new.row.1083","26300",1972,12631
"new.row.1084","26300",1973,16531
"new.row.1085","26300",1974,19377
"new.row.1086","26300",1975,19256
"new.row.1087","26300",1976,22333
"new.row.1088","26300",1977,25723
"new.row.1089","26300",1978,29330
"new.row.1090","26300",1979,33365
"new.row.1091","26300",1980,36186
"new.row.1092","26300",1981,41789
"new.row.1093","26300",1982,45082
"new.row.1094","26300",1983,48177
"new.row.1095","26300",1984,53759
"new.row.1096","26300",1985,57652
"new.row.1097","26300",1986,60434
"new.row.1098","26300",1987,63590
"new.row.1099","26300",1988,69364
"new.row.1100","26300",1989,74205
"new.row.1101","26300",1990,81093
"new.row.1102","26300",1991,86843
"new.row.1103","26300",1992,94628
"new.row.1104","26300",1993,103034
"new.row.1105","26300",1994,113502
"new.row.1106","26300",1995,121723
"new.row.1107","26300",1996,125848
"new.row.1108","26300",1997,132075
"new.row.1109","26300",1998,140596
"new.row.1110","26300",1999,147071
"new.row.1111","26300",2000,153089
"new.row.1112","26300",2001,156538
"new.row.1113","26300",2002,160680
"new.row.1114","26300",2003,168317
"new.row.1115","26300",2004,176298
"new.row.1116","26300",2005,187185
"new.row.1117","26300",2006,198415
"new.row.1118","26300",2007,204506
"new.row.1119","26300",2008,211367
"new.row.1120","26300",2009,211727
"new.row.1121","26300",2010,217180
"new.row.1122","26300",2011,205147
"new.row.1123","26300",2012,209865
"new.row.1124","26300",2013,239597
"new.row.1125","27860",1969,10641
"new.row.1126","27860",1970,11136
"new.row.1127","27860",1971,12866
"new.row.1128","27860",1972,15373
"new.row.1129","27860",1973,19394
"new.row.1130","27860",1974,21956
"new.row.1131","27860",1975,24362
"new.row.1132","27860",1976,28746
"new.row.1133","27860",1977,32614
"new.row.1134","27860",1978,38343
"new.row.1135","27860",1979,44209
"new.row.1136","27860",1980,46459
"new.row.1137","27860",1981,52321
"new.row.1138","27860",1982,54932
"new.row.1139","27860",1983,59214
"new.row.1140","27860",1984,68381
"new.row.1141","27860",1985,73061
"new.row.1142","27860",1986,78652
"new.row.1143","27860",1987,85954
"new.row.1144","27860",1988,96411
"new.row.1145","27860",1989,103622
"new.row.1146","27860",1990,112976
"new.row.1147","27860",1991,118918
"new.row.1148","27860",1992,130022
"new.row.1149","27860",1993,138930
"new.row.1150","27860",1994,148863
"new.row.1151","27860",1995,158287
"new.row.1152","27860",1996,164198
"new.row.1153","27860",1997,172907
"new.row.1154","27860",1998,182674
"new.row.1155","27860",1999,194317
"new.row.1156","27860",2000,202419
"new.row.1157","27860",2001,202477
"new.row.1158","27860",2002,210510
"new.row.1159","27860",2003,219722
"new.row.1160","27860",2004,232064
"new.row.1161","27860",2005,246187
"new.row.1162","27860",2006,261169
"new.row.1163","27860",2007,269290
"new.row.1164","27860",2008,285725
"new.row.1165","27860",2009,287878
"new.row.1166","27860",2010,301666
"new.row.1167","27860",2011,286721
"new.row.1168","27860",2012,294089
"new.row.1169","27860",2013,337210
"new.row.1170","30780",1969,79949
"new.row.1171","30780",1970,85462
"new.row.1172","30780",1971,99363
"new.row.1173","30780",1972,119038
"new.row.1174","30780",1973,155333
"new.row.1175","30780",1974,180073
"new.row.1176","30780",1975,192768
"new.row.1177","30780",1976,221591
"new.row.1178","30780",1977,249469
"new.row.1179","30780",1978,290242
"new.row.1180","30780",1979,334368
"new.row.1181","30780",1980,364058
"new.row.1182","30780",1981,423958
"new.row.1183","30780",1982,457671
"new.row.1184","30780",1983,504405
"new.row.1185","30780",1984,567820
"new.row.1186","30780",1985,623358
"new.row.1187","30780",1986,669379
"new.row.1188","30780",1987,700160
"new.row.1189","30780",1988,770340
"new.row.1190","30780",1989,818999
"new.row.1191","30780",1990,917205
"new.row.1192","30780",1991,980041
"new.row.1193","30780",1992,1060473
"new.row.1194","30780",1993,1111557
"new.row.1195","30780",1994,1191716
"new.row.1196","30780",1995,1260005
"new.row.1197","30780",1996,1319935
"new.row.1198","30780",1997,1388627
"new.row.1199","30780",1998,1476266
"new.row.1200","30780",1999,1543186
"new.row.1201","30780",2000,1612609
"new.row.1202","30780",2001,1666180
"new.row.1203","30780",2002,1710165
"new.row.1204","30780",2003,1780520
"new.row.1205","30780",2004,1860225
"new.row.1206","30780",2005,1946002
"new.row.1207","30780",2006,2093961
"new.row.1208","30780",2007,2222691
"new.row.1209","30780",2008,2286425
"new.row.1210","30780",2009,2322064
"new.row.1211","30780",2010,2350175
"new.row.1212","30780",2011,2199943
"new.row.1213","30780",2012,2248476
"new.row.1214","30780",2013,2562736
"new.row.1215","32820",1969,164830
"new.row.1216","32820",1970,175962
"new.row.1217","32820",1971,205060
"new.row.1218","32820",1972,244395
"new.row.1219","32820",1973,312264
"new.row.1220","32820",1974,354055
"new.row.1221","32820",1975,367248
"new.row.1222","32820",1976,409053
"new.row.1223","32820",1977,455179
"new.row.1224","32820",1978,526033
"new.row.1225","32820",1979,612009
"new.row.1226","32820",1980,667951
"new.row.1227","32820",1981,768297
"new.row.1228","32820",1982,812081
"new.row.1229","32820",1983,889537
"new.row.1230","32820",1984,1019561
"new.row.1231","32820",1985,1115344
"new.row.1232","32820",1986,1222958
"new.row.1233","32820",1987,1324233
"new.row.1234","32820",1988,1475295
"new.row.1235","32820",1989,1597355
"new.row.1236","32820",1990,1725551
"new.row.1237","32820",1991,1829268
"new.row.1238","32820",1992,1954509
"new.row.1239","32820",1993,2081817
"new.row.1240","32820",1994,2283523
"new.row.1241","32820",1995,2433561
"new.row.1242","32820",1996,2537181
"new.row.1243","32820",1997,2691291
"new.row.1244","32820",1998,2929901
"new.row.1245","32820",1999,3081985
"new.row.1246","32820",2000,3175104
"new.row.1247","32820",2001,3385765
"new.row.1248","32820",2002,3538942
"new.row.1249","32820",2003,3635627
"new.row.1250","32820",2004,3793936
"new.row.1251","32820",2005,3889500
"new.row.1252","32820",2006,4090763
"new.row.1253","32820",2007,4273898
"new.row.1254","32820",2008,4307272
"new.row.1255","32820",2009,4205517
"new.row.1256","32820",2010,4226314
"new.row.1257","32820",2011,3870514
"new.row.1258","32820",2012,3956462
"new.row.1259","32820",2013,4529789
"new.row.1260","38220",1969,16166
"new.row.1261","38220",1970,16562
"new.row.1262","38220",1971,18270
"new.row.1263","38220",1972,21138
"new.row.1264","38220",1973,27314
"new.row.1265","38220",1974,31299
"new.row.1266","38220",1975,31913
"new.row.1267","38220",1976,36522
"new.row.1268","38220",1977,41774
"new.row.1269","38220",1978,50778
"new.row.1270","38220",1979,61539
"new.row.1271","38220",1980,68113
"new.row.1272","38220",1981,73591
"new.row.1273","38220",1982,74269
"new.row.1274","38220",1983,80028
"new.row.1275","38220",1984,89511
"new.row.1276","38220",1985,95465
"new.row.1277","38220",1986,108926
"new.row.1278","38220",1987,105889
"new.row.1279","38220",1988,119357
"new.row.1280","38220",1989,125894
"new.row.1281","38220",1990,137679
"new.row.1282","38220",1991,132871
"new.row.1283","38220",1992,139970
"new.row.1284","38220",1993,146763
"new.row.1285","38220",1994,150939
"new.row.1286","38220",1995,157250
"new.row.1287","38220",1996,159871
"new.row.1288","38220",1997,165900
"new.row.1289","38220",1998,172868
"new.row.1290","38220",1999,177122
"new.row.1291","38220",2000,184699
"new.row.1292","38220",2001,189407
"new.row.1293","38220",2002,193423
"new.row.1294","38220",2003,199782
"new.row.1295","38220",2004,210196
"new.row.1296","38220",2005,214431
"new.row.1297","38220",2006,226263
"new.row.1298","38220",2007,227271
"new.row.1299","38220",2008,232110
"new.row.1300","38220",2009,236137
"new.row.1301","38220",2010,243173
"new.row.1302","38220",2011,219270
"new.row.1303","38220",2012,220729
"new.row.1304","38220",2013,238458
"new.row.1305","45500",1969,19489
"new.row.1306","45500",1970,18697
"new.row.1307","45500",1971,19670
"new.row.1308","45500",1972,22977
"new.row.1309","45500",1973,28914
"new.row.1310","45500",1974,32689
"new.row.1311","45500",1975,33445
"new.row.1312","45500",1976,38716
"new.row.1313","45500",1977,43510
"new.row.1314","45500",1978,51017
"new.row.1315","45500",1979,63966
"new.row.1316","45500",1980,64733
"new.row.1317","45500",1981,75730
"new.row.1318","45500",1982,82646
"new.row.1319","45500",1983,92070
"new.row.1320","45500",1984,105168
"new.row.1321","45500",1985,114106
