CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,Lat,Lng
40380,,464,"Rochester, NY",Metropolitan Statistical Area,,"Rochester-Batavia-Seneca Falls, NY",Livingston County,New York,36,051,Outlying,42.7576923,-77.8367282
40380,,464,"Rochester, NY",Metropolitan Statistical Area,,"Rochester-Batavia-Seneca Falls, NY",Monroe County,New York,36,055,Central,43.2841246,-77.7452081
40380,,464,"Rochester, NY",Metropolitan Statistical Area,,"Rochester-Batavia-Seneca Falls, NY",Ontario County,New York,36,069,Central,42.8509838,-77.2864879
40380,,464,"Rochester, NY",Metropolitan Statistical Area,,"Rochester-Batavia-Seneca Falls, NY",Orleans County,New York,36,073,Outlying,43.2525928,-78.2308005
40380,,464,"Rochester, NY",Metropolitan Statistical Area,,"Rochester-Batavia-Seneca Falls, NY",Wayne County,New York,36,117,Outlying,43.2020024,-77.010385
40380,,464,"Rochester, NY",Metropolitan Statistical Area,,"Rochester-Batavia-Seneca Falls, NY",Yates County,New York,36,123,Outlying,42.6430846,-77.1485163
40420,,466,"Rockford, IL",Metropolitan Statistical Area,,"Rockford-Freeport-Rochelle, IL",Boone County,Illinois,17,007,Central,42.3484976,-88.8263006
40420,,466,"Rockford, IL",Metropolitan Statistical Area,,"Rockford-Freeport-Rochelle, IL",Winnebago County,Illinois,17,201,Central,42.3121109,-89.1705998
40460,,,"Rockingham, NC",Micropolitan Statistical Area,,,Richmond County,North Carolina,37,153,Central,35.003045,-79.7848422
40540,,,"Rock Springs, WY",Micropolitan Statistical Area,,,Sweetwater County,Wyoming,56,037,Central,41.8519395,-109.1880047
40580,,468,"Rocky Mount, NC",Metropolitan Statistical Area,,"Rocky Mount-Wilson-Roanoke Rapids, NC",Edgecombe County,North Carolina,37,065,Central,35.8840053,-77.6536125
40580,,468,"Rocky Mount, NC",Metropolitan Statistical Area,,"Rocky Mount-Wilson-Roanoke Rapids, NC",Nash County,North Carolina,37,127,Central,35.9597948,-77.973865
40620,,,"Rolla, MO",Micropolitan Statistical Area,,,Phelps County,Missouri,29,161,Central,37.8806538,-91.7538817
40660,,470,"Rome, GA",Metropolitan Statistical Area,,"Rome-Summerville, GA",Floyd County,Georgia,13,115,Central,34.2828967,-85.2308414
40700,,,"Roseburg, OR",Micropolitan Statistical Area,,,Douglas County,Oregon,41,019,Central,43.1260694,-123.2492364
40740,,,"Roswell, NM",Micropolitan Statistical Area,,,Chaves County,New Mexico,35,005,Central,33.4757392,-104.4723301
40780,,,"Russellville, AR",Micropolitan Statistical Area,,,Pope County,Arkansas,05,115,Central,35.440627,-93.0175712
40780,,,"Russellville, AR",Micropolitan Statistical Area,,,Yell County,Arkansas,05,149,Outlying,35.0810824,-93.3388917
